0,Chapter 25: The General Law of Capitalist Accumulation 1.,DREIUNDZWANZIGSTES KAPITEL. TEIL I.,3.9542573176185387
574,"The room was not bare of furniture, and there was a fire in it.","Das Zimmer war noch nicht ganz von Möbeln entblößt, und es war Feuer darin.",2.9158372226780775
575,"This was necessary to keep the naked feet of the young children from getting frost bitten, for it was a bitterly cold day.","Dies war nötig, um die nackten Füße der jungen Kinder vor Frost zu schützen, denn es war ein grimmig kalter Tag.",2.9594480340637035
576,"On a tray infront of the fire lay a quantity of oakum, which the wife and children were picking in return for their allowance from the parish.","Auf einem Teller gegenüber dem Feuer lag ein Quantum Werg, welches Frau und Kinder zupften in Erstattung des Brots vom Workhouse.",3.1082559315905343
577,"The man worked in the stone yard of the workhouse for a certain ration of food, and threepence per day.",Der Mann arbeitete in einem der oben beschriebenen Höfe für ein Brotbillett und 3 d. per Tag.,3.28517079035593
578,"He had now come home to dinner quite hungry, as he told us with a melancholy smile, and his dinner consisted of a couple of slices of bread and dripping, and a cup of milkless tea… The next door at which we knocked was opened by a middle-aged woman, who, without saying a word, led us into a little back parlour, in which sat all her family, silent and fixedly staring at a rapidly dying fire.","Er kam jetzt nach Haus zum Mittagessen, sehr hungrig, wie er uns mit einem bittern Lächeln sagte, und sein Mittagessen bestand aus einigen Brotschnitten mit Schmalz und einer Tasse milchlosen Tees ... Die nächste Tür, an der wir anklopften, wurde geöffnet durch ein Frauenzimmer mittleren Alters, die, ohne ein Wort zu sagen, uns in ein kleines Hinterzimmer führte, wo ihre ganze Familie saß, schweigend, die Augen auf ein rasch ersterbendes Feuer geheftet.",2.9746777007540923
579,"Such desolation, such hopelessness was about these people and their little room, as I should not care to witness again.","Solche Verödung, solche Hoffnungslosigkeit hing um diese Leute und ihr kleines Zimmer, daß ich nicht wünsche, je eine ähnliche Szene wieder zu sehn.",3.186731258769707
580,"“Nothing have they done, sir,” said the woman, pointing to her boys,” for six and twenty weeks; and all our money gone – all the twenty pounds that me and father saved when times were better, thinking it would yield a little to keep us when we got past work.","'Nichts haben sie verdient, mein Herr', sagte die Frau, auf ihre Jungen zeigend, 'nichts für 26 Wochen, und all unser Geld ist hingegangen, alles Geld, das ich und der Vater in den beßren Zeiten zurücklegten, in dem Wahn, einen Rückhalt während schlechten Geschäfts zu sichern.",2.8987313460515804
581,"Look at it,” she said, almost fiercely, bringing out a bankbook with all its well-kept entries of money paid in, and money taken out, so that we could see how the little fortune had begun with the first five shilling deposit, and had grown by little and little to be twenty pounds, and how it had melted down again till the sum in hand got from pounds to shillings, and the last entry made the book as worthless as a blank sheet.","Sehn Sie es', schrie sie fast wild, indem sie ein Bankbuch hervorholte mit allen seinen regelmäßigen Nachweisen über eingezahltes und rückerhaltnes Geld, so daß wir sehn konnten, wie das kleine Vermögen begonnen hatte mit dem ersten Deposit von 5 Shilling, wie es nach und nach zu 20 Pfd.St. aufwuchs und dann wieder zusammenschmolz, von Pfunden zu Shillingen, bis der letzte Eintrag das Buch so wertlos machte wie ein leeres Stück Papier.",2.9300971367633015
582,"This family received relief from the workhouse, and it furnished them with just one scanty meal per day… Our next visit was to an iron labourer’s wife, whose husband had worked in the yards.","Diese Familie erhielt ein notdürftiges Mahl täglich vom Workhouse ... Unsere folgende Visite war zur Frau eines Irländers, der an den Schiffswerften gearbeitet hatte.",3.3394988584662797
583,"We found her ill from want of food, lying on a mattress in her clothes, and just covered with a strip of carpet, for all the bedding had been pawned.","Wir fanden sie krank von Nahrungsmangel, in ihren Kleidern auf eine Matratze gestreckt, knapp bedeckt mit einem Stück Teppich, denn alles Bettzeug war im Pfandhaus.",3.328792164896519
584,"Two wretched children were tending her, themselves looking as much in need of nursing as their mother.","Die elenden Kinder warteten sie und sahen aus, als bedürften sie umgekehrt der mütterlichen Pflege.",3.566078288307923
585,"Nineteen weeks of enforced idleness had brought them to this pass, and while the mother told the history of that bitter past, she moaned as if all her faith in a future that should atone for it were dead… On getting outside a young fellow came running after us, and asked us to step inside his house and see if anything could be done for him.","Neunzehn Wochen erzwungnen Müßiggangs hatten sie so weit heruntergebracht, und während sie die Geschichte der bittern Vergangenheit erzählte, stöhnte sie, als ob alle Hoffnung auf eine bessere Zukunft verloren wäre ... Beim Austritt aus dem Hause rannte ein junger Mann auf uns zu und bat uns, in sein Haus zu gehn und zu sehn, ob irgend etwas für ihn geschehen könne.",2.6437032510605483
586,"A young wife, two pretty children, a cluster of pawn-tickets, and a bare room were all he had to show.’* On the after-pains of the crisis of 1866, we shall quote an extract from a Tory newspaper.","Ein junges Weib, zwei hübsche Kinder, ein Kluster von Pfandzetteln und ein ganz kahles Zimmer war alles, was er zu zeigen hatte."" Über die Nachwehen der Krise von 1866 folgender Auszug aus einer torystischen Zeitung.",2.8966847329624654
587,"It must not be forgotten that the East End of London, which is dealt with here, is not only the location of the iron shipbuilding mentioned above, but also of the so-called domestic industry, which is always paid less than the minimum wage.","Man muß nicht vergessen, daß der Ostteil Londons, um den es sich hier handelt, nicht nur Sitz der im Text des Kapitels erwähnten eisernen Schiffsbauer, sondern auch einer stets unter dem Minimum bezahlten sog. ""Hausarbeit"" ist.",2.760345333873154
588,‘A frightful spectacle was to be seen yesterday in one part of the metropolis.,"Ein entsetzliches Schauspiel entrollte sich gestern in einem Teil der Metropole.	ch25_clean.en-ch25_clean.de
Although the unemployed thousands of the East-end did not parade with their black flags en masse, the human torrent was imposing enough.	Obgleich die arbeitslosen Tausende des Ostendes mit schwarzen Trauerflaggen nicht in Masse paradierten, war der Menschenstrom imposant genug.	ch25_clean.en-ch25_clean.de
Let us remember what these people suffer.	Erinnern wir uns, was diese Bevölkerung leidet.	ch25_clean.en-ch25_clean.de
They are dying of hunger.	Sie stirbt vor Hunger.	ch25_clean.en-ch25_clean.de
That is the simple and terrible fact.	Das ist die einfache und furchtbare Tatsache.	ch25_clean.en-ch25_clean.de
There are 40, of them… In our presence, in one quarter of this wonderful metropolis, are packed – next door to the most enormous accumulation of wealth the world ever saw – cheek by jowl with this are 40, helpless, starving people.	Es sind ihrer 40.000 ... In unsrer Gegenwart, in einem Viertel dieser wundervollen Metropole, dicht neben der enormsten Akkumulation von Reichtum, welche die Welt je sah, dicht dabei 40.000 hilflos verhungernd!	ch25_clean.en-ch25_clean.de
These thousands are now breaking in upon the other quarters; always half-starving, they cry their misery in our ears, they cry to Heaven, they tell us from their miserable dwellings, that it is impossible for them to find work, and useless for them to beg.	Diese Tausende brechen jetzt ein in die andren Viertel; sie, in allen Zeiten halbverhungert, schreien uns ihr Weh ins Ohr, sie schreien es zum Himmel, sie erzählen uns von ihren elendgeschlagenen Wohnungen, daß es unmöglich für sie, Arbeit zu finden, und nutzlos zu betteln.	ch25_clean.en-ch25_clean.de
The local ratepayers themselves are driven by the parochial charges to the verge of pauperism’ (Standard, 5 April 1867).	Die lokalen Armensteuerpflichtigen sind durch die Forderungen der Pfarreien selbst an den Rand des Pauperismus getrieben.",4.230241166155145
589,"As it is the fashion amongst English capitalists to quote Belgium as the workers’ paradise, because ‘freedom of labour’ or, what is the same thing, ‘freedom of capital’ is there limited neither by the despotism of the trade unions nor by the shackles of the Factory Acts, we shall say a word or two here about the ‘good fortune’ of the Belgian worker.","(""Standard"" 5. April 1867.) Da es Mode unter den englischen Kapitalisten ist, Belgien als das Paradies des Arbeiters zu schildern, weil ""die Freiheit der Arbeit"" oder, was dasselbe ist, ""die Freiheit des Kapitals"" dort weder durch den Despotismus der Trades' Unions noch durch Fabrikgesetze verkümmert sei, hier ein paar Worte über das ""Glück"" des belgischen Arbeiters.",2.8649359646063313
590,"Assuredly no one was more thoroughly initiated into the mysteries of this good fortune than the late M. Ducpétiaux, inspector-general of Belgian prisons and charitable institutions, and member of the Central Statistical Commission of Belgium.","Sicher war niemand tiefer eingeweiht in die Mysterien dieses Glücks als der verstorbene Herr Ducpétiaux, Generalinspektor der belgischen Gefängnisse und Wohltätigkeitsanstalten und Mitglied der Zentralkommission für belgische Statistik.",3.281708171388474
591,"Let us take his work Budgets économiques des classes ouvrières de la Belgique (Brussels, 1855).","Nehmen wir sein Werk: ""Budgets éonomiques des classes ouvrières en Belgique"", Bruxelles 1855.",4.013166146443608
592,"Here we find, among other things, a discussion of a normal Belgian worker’s family, whose yearly income and expenditure he calculates on very exact data, and whose conditions of nourishment are then compared with those of the soldier, the sailor and the prisoner.","Hier finden wir u.a. eine belgische Normalarbeiterfamilie, deren jährliche Ausgaben und Einnahmen nach sehr genauen Daten berechnet, und deren Nahrungsverhältnisse dann mit denen des Soldaten, des Flottenmatrosen und des Gefangnen verglichen werden.",2.6988101792874106
